15
22
18,27,17,21,16,29,15,23,16,28,16,24,16,28,20,21,27,29,17,26,21,27
7,10,12,8,14,11,13,9,6,7,14,12,10,13,8,9,7,11,6,14,13,10
5.0,8.5,5.0,8.0,8.5,2.5,3.5,7.5,7.0,1.5,9.5,2.5,9.0,4.5,9.0
5.32,-18.45,12.67,3.89,-15.23,6.45,14.99,-9.12,2.34,-7.56,11.23,-5.67,19.76,1.23,-4.56,8.90,-11.23,17.45,-3.45,22.56,-35.67,47.89
10.12,-8.23,19.99,14.56,-13.45,7.89,16.78,-2.34,1.56,-9.45,5.78,-4.12,18.23,3.45,-6.78,13.56,-7.89,20.12,-15.67,23.45,-48.23,36.78
6.78,-14.56,9.12,4.56,-12.34,11.89,15.23,-5.67,3.45,-8.90,2.12,-10.23,17.89,7.45,-1.56,12.34,-3.78,19.23,-14.89,25.67,-41.23,52.45
2.34,-16.78,13.56,5.12,-7.89,9.45,18.23,-11.56,3.89,-4.12,10.78,-6.45,1.23,8.90,-13.45,19.56,-2.78,14.23,-9.89,27.45,-39.67,45.89
12.34,-9.45,17.89,8.56,-11.23,3.45,10.12,-6.78,2.89,-13.56,1.45,-5.12,14.78,6.34,-7.45,11.23,-4.56,18.45,-16.78,20.67,-47.45,33.12
7.45,-13.56,14.12,9.23,-10.78,5.89,12.34,-3.45,2.12,-15.67,8.90,-4.78,16.23,1.56,-8.45,13.67,-2.34,19.78,-12.23,24.89,-38.45,40.12
3.12,-18.45,10.23,6.78,-7.34,15.89,2.45,-11.23,4.56,-9.78,13.45,-5.89,19.12,7.23,-14.56,8.90,-3.67,17.23,-6.45,21.56,-42.78,46.23
8.34,-7.45,11.56,3.23,-10.12,13.89,16.78,-5.67,4.12,-8.23,9.45,-1.56,17.89,2.34,-6.78,14.56,-4.12,18.23,-15.67,22.45,-36.12,51.34
2.78,-16.23,12.45,5.89,-6.12,10.34,18.56,-9.45,3.67,-2.34,15.78,-8.12,1.89,7.45,-13.56,19.12,-3.45,11.23,-7.78,26.34,-40.56,43.89
10.45,-11.78,13.23,8.12,-14.56,6.78,12.89,-4.23,3.45,-9.67,1.78,-5.89,17.34,2.56,-12.23,15.67,-3.12,19.89,-10.45,23.12,-39.78,48.56
5.67,-12.34,14.45,7.23,-9.89,11.12,16.34,-2.78,4.56,-8.45,2.34,-10.23,19.45,3.67,-6.12,13.89,-1.23,18.12,-11.78,25.23,-35.67,44.56
3.45,-14.56,15.67,6.23,-8.90,12.45,17.89,-5.12,4.78,-13.45,9.23,-2.34,18.56,7.12,-10.89,11.34,-6.45,19.23,-7.67,24.78,-41.12,47.89
11.34,-10.23,16.78,5.45,-12.67,4.12,14.89,-6.78,3.23,-9.45,7.56,-4.34,18.23,2.89,-13.12,10.45,-1.56,17.12,-8.89,22.34,-37.78,42.45
9.23,-7.12,13.45,8.78,-14.34,6.45,15.23,-3.12,1.23,-11.89,10.12,-2.56,16.34,4.45,-9.23,12.78,-5.67,19.56,-10.12,21.89,-43.45,50.23
2.12,-17.34,12.78,7.56,-6.89,11.45,18.23,-8.12,3.45,-5.67,15.89,-3.12,1.78,9.45,-12.34,17.23,-4.78,14.12,-11.45,26.78,-38.23,49.67
